,Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado (Transfermarkt),Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,Duelos ganados %,País de nacimiento,Pasaporte,Pie,Altura,Peso,En prestamo,Acciones defensivas realizadas/90,Duelos defensivos/90,Duelos defensivos ganados %,Duelos aéreos/90,Duelos aéreos ganados %,Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,Tiros a la portería %,Goles hechos %,Asistencias/90,Centros/90,Precisión centros %,Centros desde la banda izquierda/90,Precisión centros desde la banda izquierda %,Centros desde la banda derecha/90,Precisión centros desde la banda derecha %,Centros al área pequeña/90,Regates/90,Regates realizados %,Duelos atacantes/90,Duelos atacantes ganados %,Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos/90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,Precisión pases %,Pases hacia adelante/90,Precisión pases hacia adelante %,Pases hacia atrás/90,Precision pases hacia atrás %,Pases laterales/90,Precisión pases laterales %,Pases cortos / medios/90,Precisión pases cortos / medios %,Pases largos/90,Precisión pases largos %,"Longitud media pases, m","Longitud media pases largos, m",xA/90,Second assists/90,Third assists/90,Desmarques/90,Precisión desmarques %,Jugadas claves/90,Pases en el último tercio/90,Precisión pases en el último tercio %,Pases al área de penalti/90,Pases hacía el área pequeña %,Pases en profundidad/90,Precisión pases en profundidad %,Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,Precisión pases progresivos %,Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas/90,Paradas %,xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Tiros libres/90,Tiros libres directos/90,Tiros libres directos %,Córneres/90,Penaltis a favor,Penaltis realizados %,Competición,Temporada,Pais_Comp,Asistencias/90.1,Duelos aéreos/90.1,Flag,Posición Principal,Fecha_Actualizacion
5026,Ronaldo Lumungo,Paços de Ferreira,Paços de Ferreira,"RAMF, RWF, RW",24,225000,2027-06-30,31,2733,4,4.89,3,2.17,20.32,40.36,São Tomé e Príncipe,São Tomé e Príncipe,derecho,170,64,no,5.33,4.31,61.07,2.34,28.17,0.13,0.2,0.07,2.57,3.83,0.82,4,0.13,0,0.0,3.66,0.13,4,0.13,0.16,1,0.03,57,1.88,26.32,7.018,0.1,3.49,26.42,0.72,50.0,2.77,20.24,0.36,4.84,46.26,11.36,36.23,3.06,2.8,0.89,10.87,1.51,1.55,15.77,59.5,3.95,60.83,2.6,78.48,5.04,53.59,11.66,70.62,0.92,32.14,18.85,26.83,0.07,0.03,0.03,0.03,0.0,0.49,1.19,50.0,2.5,39.47,0.07,0.0,0.63,0.89,2.83,68.6,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.03,0.03,100.0,0.03,0,0.0,LIGA2,2025-2026,POR,0.76,,,Extremo,2026-08-01 16:29:15.671466
5027,Jaiminho,Farense,Farense,"LW, LAMF, RAMF",28,225000,2026-06-30,26,1281,1,1.28,0,0.86,24.31,37.86,Portugal,Portugal,derecho,183,83,no,4.85,3.58,58.82,4.22,18.33,0.07,0.11,0.28,2.67,4.03,1.76,6,0.42,0,0.0,2.95,0.07,1,0.07,0.09,0,0.0,11,0.77,54.55,9.091,0.0,1.83,34.62,1.41,35.0,0.35,40.0,0.42,3.58,52.94,13.21,38.3,2.32,1.69,0.14,6.46,1.48,2.32,10.47,75.17,1.83,57.69,2.32,96.97,3.72,73.58,8.5,84.3,0.21,33.33,16.94,3.92,0.06,0.0,0.0,0.0,0.0,0.21,0.91,53.85,1.55,54.55,0.0,0.0,0.42,0.84,1.69,54.17,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.35,,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Extremo,2026-08-01 16:29:15.671466
5028,Alfonso Pastor,Marítimo,Marítimo,GK,25,200000,2026-06-30,1,101,0,0.0,0,0.0,0.0,0.0,Spain,Spain,derecho,190,82,no,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,2.86,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82,0.0,0.0,25.84,86.21,14.26,75.0,0.0,0.0,11.58,100.0,12.48,100.0,13.37,73.33,35.58,49.52,0.0,0.0,0.0,0.0,0.0,0.0,2.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0,9.8,81.82,1,0.89,5,4.46,0,80.0,1.85,1.64,0.85,0.757,0.0,0.89,,,,0.0,0,0.0,LIGA2,2025-2026,POR,0.0,0.0,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Portero,2026-08-01 16:29:15.671466
5029,Pedro Pinho,Chaves,Chaves,"RCMF, LCMF, LDMF",26,200000,2026-06-30,30,2547,3,1.63,0,1.03,15.65,53.27,Portugal,Portugal,derecho,189,82,no,9.05,6.54,61.62,2.58,39.73,0.49,0.75,0.32,4.52,6.89,1.73,12,0.42,0,0.0,1.02,0.11,3,0.11,0.06,0,0.0,27,0.95,33.33,11.111,0.0,0.42,50.0,0.14,75.0,0.28,37.5,0.0,0.78,59.09,4.03,51.75,0.57,1.17,0.18,28.09,0.21,1.63,41.87,83.63,12.51,69.49,6.93,94.39,16.01,90.29,36.57,87.05,4.88,60.87,19.04,38.74,0.04,0.04,0.0,0.18,20.0,0.25,7.31,74.4,1.17,45.45,0.71,35.0,0.49,0.18,7.35,73.56,0,,0,,0,0.0,0.0,0.0,,,0.57,,0.07,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.57,,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Centrocampista,2026-08-01 16:29:15.671466
5030,Brian Araújo,Farense,Farense,GK,26,200000,2027-06-30,30,3017,0,0.0,0,0.0,0.95,65.63,Portugal,Portugal,derecho,189,84,no,1.28,0.09,66.67,0.72,75.0,0.0,0.0,0.0,1.22,1.85,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.0,0.0,0.03,10.26,0.33,0.33,16.41,82.91,9.28,72.67,0.0,0.0,6.71,96.0,9.55,97.81,6.86,62.17,33.69,50.8,0.0,0.0,0.03,0.0,0.0,0.0,2.06,55.07,0.09,66.67,0.0,0.0,0.09,0.0,5.01,72.62,30,0.89,118,3.52,11,74.58,31.99,0.95,1.99,0.059,0.0,1.76,,,,0.0,0,0.0,LIGA2,2025-2026,POR,0.0,0.72,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Portero,2026-08-01 16:29:15.671466
5031,Lucas Paes,Torreense,Torreense,GK,28,200000,2026-06-30,31,3085,0,0.0,1,0.1,0.67,86.96,Brazil,Brazil,derecho,196,92,no,2.19,0.12,75.0,0.44,93.33,0.0,0.0,0.0,2.1,2.9,0.03,3,0.09,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.0,0.0,0.0,11.35,0.29,0.12,19.9,78.74,12.17,68.59,0.03,100.0,7.32,94.82,11.67,96.25,8.2,54.09,33.78,49.02,0.0,0.0,0.03,0.0,0.0,0.03,2.8,37.5,0.23,12.5,0.09,66.67,0.03,0.0,5.25,70.0,28,0.82,122,3.56,12,77.05,31.02,0.9,3.02,0.088,0.03,1.72,,,,0.0,0,0.0,LIGA2,2025-2026,POR,0.03,0.44,https://images.fotmob.com/image_resources/logo/teamlogo/8256.png,Portero,2026-08-01 16:29:15.671466
5032,Javi Vázquez,Torreense,Torreense,LB,25,200000,2027-06-30,33,3269,4,3.76,7,6.39,11.37,55.93,Spain,Spain,izquierdo,178,70,no,6.52,4.52,67.07,1.9,47.83,0.19,0.27,0.06,3.3,4.6,0.55,3,0.08,0,0.0,3.52,0.11,3,0.08,0.1,0,0.0,37,1.02,35.14,10.811,0.19,4.98,35.36,4.85,34.66,0.11,50.0,0.36,2.06,64.0,3.47,51.59,1.1,0.72,0.06,25.16,2.45,0.61,34.52,68.26,14.37,63.22,5.37,93.85,10.3,64.97,23.02,82.18,6.91,44.62,23.49,41.02,0.18,0.03,0.03,0.11,75.0,0.55,6.44,56.84,5.45,47.98,0.5,27.78,1.05,1.71,10.41,71.69,0,,0,,0,0.0,0.0,0.0,,,0.69,,1.76,0.22,25.0,1.73,2,50.0,LIGA2,2025-2026,POR,1.65,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Lateral,2026-08-01 16:29:15.671466
5033,João Caiado,Paços de Ferreira,Paços de Ferreira,"LW, RCMF, LCMF",26,200000,2026-06-30,8,381,1,0.51,0,0.01,25.51,52.78,Portugal,Portugal,derecho,178,72,no,8.98,9.92,64.29,3.78,43.75,0.47,0.64,0.0,2.13,2.87,1.42,3,0.71,0,0.0,1.42,0.24,1,0.24,0.12,0,0.0,4,0.94,25.0,25.0,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.0,3.07,38.46,8.74,40.54,0.71,1.18,0.24,9.21,1.18,4.02,12.05,66.67,6.85,65.52,1.42,83.33,2.36,60.0,10.39,75.0,1.42,16.67,18.47,18.09,0.0,0.0,0.0,0.24,0.0,0.0,2.6,81.82,0.71,0.0,0.24,0.0,0.0,0.24,3.54,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.24,0,0.0,LIGA2,2025-2026,POR,0.24,,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Extremo,2026-08-01 16:29:15.671466
5034,D. Steczyk,Académico de Viseu F.C.,Académico de Viseu F.C.,CF,27,200000,2026-06-30,11,128,0,0.17,0,0.0,18.28,34.62,Poland,Poland,derecho,185,74,no,2.11,2.81,50.0,2.81,50.0,0.0,0.0,0.0,0.7,1.88,0.7,0,0.0,0,0.0,2.81,0.0,0,0.0,0.12,0,0.0,2,1.41,100.0,0.0,0.0,0.7,100.0,0.7,100.0,0.0,0.0,0.0,1.41,50.0,7.73,36.36,2.11,0.7,0.0,9.14,1.41,2.81,12.66,83.33,0.7,100.0,4.22,100.0,3.52,80.0,11.25,81.25,0.7,100.0,8.26,2.03,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,100.0,0.0,0.0,0.0,0.7,1.41,50.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.0,,,Delantero,2026-08-01 16:29:15.671466
5035,Nils Mortimer,Académico de Viseu F.C.,Académico de Viseu F.C.,"RAMF, RCMF",24,200000,2028-06-30,20,892,2,1.0,1,1.6,14.53,43.75,Spain,Spain,izquierdo,178,72,no,5.25,4.54,55.56,3.43,55.88,0.2,0.32,0.0,2.52,4.03,1.51,3,0.3,0,0.0,1.92,0.2,2,0.2,0.1,1,0.1,14,1.41,21.43,14.286,0.1,1.21,66.67,0.4,75.0,0.81,62.5,0.2,1.31,53.85,4.84,27.08,0.71,0.71,0.0,21.39,1.11,0.61,31.98,82.97,9.28,61.96,6.86,94.12,11.3,92.86,28.05,86.69,2.72,51.85,17.97,27.79,0.16,0.1,0.1,0.3,33.33,0.5,4.84,70.83,2.12,57.14,0.5,40.0,0.5,0.81,5.45,79.63,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.51,0.1,0.0,1.11,0,0.0,LIGA2,2025-2026,POR,1.11,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Extremo,2026-08-01 16:29:15.671466
5036,Luís Bastos,UD Oliveirense,UD Oliveirense,"LWB, LW, LB",24,200000,2027-06-30,15,692,1,0.76,0,0.55,15.74,49.59,Portugal,Portugal,izquierdo,175,72,no,7.93,5.98,54.35,2.21,52.94,0.26,0.39,0.13,4.42,6.71,1.04,5,0.65,0,0.0,3.51,0.13,1,0.13,0.1,0,0.0,18,2.34,22.22,5.556,0.0,3.51,51.85,3.12,50.0,0.39,66.67,0.26,2.21,52.94,6.24,43.75,1.3,0.65,0.0,23.54,2.34,1.43,31.08,81.17,11.18,75.58,6.63,92.16,8.97,78.26,24.45,88.83,3.64,60.71,16.91,25.34,0.07,0.0,0.0,0.0,0.0,0.39,3.77,58.62,2.99,52.17,0.26,50.0,0.65,1.17,6.11,72.34,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.95,0.26,0.0,1.69,0,0.0,LIGA2,2025-2026,POR,0.91,,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Lateral,2026-08-01 16:29:15.671466
5037,Raúl Alcaina,Penafiel,Penafiel,CF,25,200000,2027-06-30,24,1454,2,4.0,0,0.84,26.74,34.49,Spain,Spain,derecho,181,77,no,3.09,3.59,48.28,8.54,35.51,0.06,0.09,0.19,1.3,1.92,3.03,3,0.19,0,0.0,2.29,0.12,2,0.12,0.25,0,0.0,36,2.23,30.56,5.556,0.0,0.68,18.18,0.37,16.67,0.31,20.0,0.0,2.35,60.53,9.47,30.72,3.09,1.61,0.31,6.19,1.55,0.99,10.89,67.05,2.04,57.58,2.97,89.58,2.97,64.58,9.78,71.52,0.43,42.86,13.58,7.36,0.05,0.0,0.0,0.06,100.0,0.19,1.11,50.0,0.62,30.0,0.06,100.0,0.5,0.12,0.8,61.54,0,,0,,0,0.0,0.0,0.0,,,0.06,,0.06,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.5,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5038,J. Odehnal,União de Leiria,União de Leiria,GK,24,200000,2027-06-30,5,486,0,0.0,0,0.0,0.37,100.0,Austria,Austria,derecho,195,80,no,1.48,0.19,100.0,0.19,100.0,0.0,0.0,0.0,1.3,1.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.74,0.19,0.0,15.56,90.48,6.67,86.11,0.19,0.0,8.33,95.56,12.04,95.38,3.52,73.68,25.11,37.21,0.0,0.0,0.0,0.0,0.0,0.0,0.74,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,76.47,9,1.67,18,3.33,0,50.0,6.25,1.16,-2.75,-0.509,0.0,0.93,,,,0.0,0,0.0,LIGA2,2025-2026,POR,0.0,0.19,https://images.fotmob.com/image_resources/logo/teamlogo/8255.png,Portero,2026-08-01 16:29:15.671466
5039,J. Delgado,Chaves,Chaves,"RWF, CF",23,200000,2027-06-30,13,633,2,2.66,0,0.35,18.77,43.18,Spain,Spain,derecho,185,84,si,4.98,5.4,57.89,4.41,38.71,0.0,0.0,0.14,1.85,2.91,1.85,0,0.0,0,0.0,2.13,0.28,2,0.28,0.38,1,0.14,14,1.99,35.71,14.286,0.0,1.56,45.45,0.14,0.0,1.42,50.0,0.28,1.42,50.0,5.83,41.46,2.7,1.0,0.28,12.65,2.13,2.13,15.36,76.85,2.56,44.44,6.11,95.35,4.12,82.76,13.51,81.05,0.43,33.33,14.14,4.46,0.05,0.0,0.0,0.0,0.0,0.28,0.57,25.0,0.85,66.67,0.0,0.0,0.14,1.0,1.85,38.46,0,,0,,0,0.0,0.0,0.0,,,0.14,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.71,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5040,B. Sangaré,Farense,Farense,"CF, RW, LAMF",26,175000,2028-06-30,25,1471,2,4.32,0,0.85,24.41,34.09,Côte d'Ivoire,Côte d'Ivoire,derecho,180,75,no,4.53,4.28,50.0,4.41,43.06,0.06,0.1,0.12,2.32,3.67,2.45,5,0.31,1,0.06,2.14,0.12,2,0.12,0.26,0,0.0,43,2.63,25.58,4.651,0.0,1.22,20.0,0.61,20.0,0.61,20.0,0.18,3.0,38.78,11.87,26.29,3.55,1.1,0.06,11.07,2.63,1.84,16.27,69.17,3.37,52.73,4.28,84.29,5.51,63.33,14.26,73.82,0.8,61.54,19.02,16.03,0.05,0.0,0.0,0.18,33.33,0.18,1.53,44.0,1.47,29.17,0.24,25.0,0.43,0.31,1.65,48.15,0,,0,,0,0.0,0.0,0.0,,,0.31,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.61,,,Delantero,2026-08-01 16:29:15.671466
5041,A. Hristov,Vizela,Vizela,RCB,27,175000,2027-06-30,17,1285,0,0.32,0,0.2,11.77,60.71,Bulgaria,Bulgaria,derecho,192,78,no,7.0,4.55,67.69,4.06,62.07,0.0,0.0,0.28,3.92,5.81,0.7,1,0.07,0,0.0,0.28,0.0,0,0.0,0.02,0,0.0,4,0.28,25.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.21,100.0,1.54,54.55,0.63,0.7,0.07,25.91,0.21,1.12,37.61,89.57,15.34,78.08,3.08,95.45,16.53,97.46,32.92,94.89,4.62,53.03,20.31,30.87,0.01,0.0,0.0,0.0,0.0,0.0,4.27,65.57,0.35,20.0,0.42,16.67,0.28,0.0,6.51,77.42,0,,0,,0,0.0,0.0,0.0,,,2.31,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.28,,https://images.fotmob.com/image_resources/logo/teamlogo/10150.png,Central,2026-08-01 16:29:15.671466
5042,Tiago Ribeiro,Feirense,Feirense,"CF, RCMF, AMF",24,175000,2026-06-30,31,2547,2,2.69,3,4.03,14.88,39.43,Portugal,Portugal,izquierdo,183,75,no,4.81,5.69,50.31,1.87,30.19,0.39,0.6,0.04,1.55,2.4,1.77,10,0.35,1,0.04,1.77,0.07,2,0.07,0.1,0,0.0,52,1.84,36.54,3.846,0.11,1.98,30.36,0.74,33.33,1.2,29.41,0.28,1.02,41.38,5.23,34.46,1.1,0.67,0.0,12.54,0.92,1.17,23.07,71.06,7.92,61.16,4.52,89.84,7.6,74.42,18.34,77.46,2.86,58.02,21.87,37.93,0.14,0.07,0.04,0.18,40.0,0.25,4.38,54.84,2.54,54.17,0.35,10.0,0.88,0.74,5.02,78.87,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.3,0.53,60.0,2.51,0,0.0,LIGA2,2025-2026,POR,1.45,,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Delantero,2026-08-01 16:29:15.671466
5043,Manuel Baldé,Penafiel,Penafiel,GK,23,175000,2026-06-30,1,100,0,0.0,0,0.0,0.9,0.0,Guinea-Bissau,Guinea-Bissau,derecho,194,88,no,2.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.91,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.9,0.0,23.4,76.92,16.2,66.67,0.0,0.0,7.2,100.0,9.0,100.0,14.4,62.5,41.25,51.08,0.0,0.0,0.0,0.0,0.0,0.0,3.6,75.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,66.67,2,1.8,7,6.3,0,71.43,2.4,2.16,0.4,0.36,0.0,0.9,,,,0.0,0,0.0,LIGA2,2025-2026,POR,0.0,0.0,https://images.fotmob.com/image_resources/logo/teamlogo/230700.png,Portero,2026-08-01 16:29:15.671466
5044,Ethyan González,Muaither,Torreense,CF,23,150000,2026-06-30,1,35,0,0.08,0,0.0,,,Spain,Spain,derecho,185,76,no,,,,,,,0.0,,,0.0,,1,,0,,,,0,,,0,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74,0.0,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,LIGA2,2025-2026,POR,,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5045,L. De Bolle,Portimonense,Portimonense,LCMF,23,150000,2028-06-30,3,41,0,0.0,0,0.0,,,Scotland,Scotland,derecho,0,0,no,,,,,,,0.0,,,0.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.51,19.57,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,0,0.0,LIGA2,2025-2026,POR,,,,Centrocampista,2026-08-01 16:29:15.671466
5046,Manu Garrido,Vizela,Vizela,CF,25,150000,2027-06-30,16,1074,2,4.65,0,0.41,21.7,34.36,Spain,Spain,derecho,190,87,no,3.52,3.44,46.34,5.03,35.0,0.08,0.15,0.17,1.84,3.25,2.43,4,0.34,0,0.0,1.42,0.17,2,0.17,0.39,1,0.08,33,2.77,36.36,6.061,0.0,0.25,33.33,0.0,0.0,0.17,0.0,0.0,0.67,50.0,9.22,31.82,3.27,0.5,0.0,8.13,0.84,1.09,14.08,74.4,2.51,50.0,3.85,89.13,3.44,78.05,13.66,76.07,0.17,0.0,13.56,5.53,0.03,0.0,0.08,0.17,0.0,0.17,0.84,80.0,0.92,36.36,0.17,0.0,0.42,0.08,0.75,55.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.25,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5047,Miguel Tavares,Vizela,Vizela,"LWB, LAMF, LW",27,150000,2028-06-30,19,1433,2,3.8,2,3.26,23.49,48.66,Portugal,Portugal,derecho,179,70,no,4.4,3.96,57.14,1.19,36.84,0.0,0.0,0.06,2.14,3.57,1.0,1,0.06,0,0.0,7.1,0.13,2,0.13,0.24,0,0.0,46,2.89,30.43,4.348,0.13,3.01,31.25,2.89,32.61,0.13,0.0,0.69,8.73,60.43,16.89,48.7,3.64,5.78,0.5,20.41,1.32,2.64,26.5,66.35,6.47,60.19,6.15,82.65,8.29,67.42,22.55,71.31,1.0,56.25,17.18,25.14,0.2,0.0,0.0,0.13,0.0,0.5,2.83,68.89,2.89,36.96,0.38,33.33,0.82,1.07,5.72,73.63,0,,0,,0,0.0,0.0,0.0,,,0.25,,0.19,0.19,33.33,0.19,0,0.0,LIGA2,2025-2026,POR,1.26,,https://images.fotmob.com/image_resources/logo/teamlogo/8361.png,Lateral,2026-08-01 16:29:15.671466
5048,Mario Rivas,Felgueiras 1932,Felgueiras 1932,CF,26,150000,2026-06-30,33,1990,10,8.53,3,1.28,22.03,40.66,Spain,Spain,derecho,191,79,no,5.25,3.44,69.74,7.42,45.73,0.41,0.6,0.09,2.44,3.6,1.13,2,0.09,0,0.0,2.17,0.45,7,0.32,0.39,3,0.14,55,2.49,45.45,18.182,0.14,1.81,25.0,0.36,25.0,1.45,25.0,0.27,1.36,40.0,7.6,27.98,3.57,0.72,0.09,10.67,1.99,1.45,14.92,59.09,4.21,47.31,2.71,80.0,4.52,57.0,11.94,67.8,1.36,23.33,15.14,17.62,0.06,0.05,0.0,0.14,33.33,0.41,2.08,47.83,1.76,25.64,0.36,37.5,0.5,0.45,2.26,76.0,0,,0,,0,0.0,0.0,0.0,,,0.05,,0.23,0.23,60.0,0.0,3,100.0,LIGA2,2025-2026,POR,0.63,,https://images.fotmob.com/image_resources/logo/teamlogo/6720.png,Delantero,2026-08-01 16:29:15.671466
5049,Jeimes,Paços de Ferreira,Paços de Ferreira,GK,25,150000,2026-06-30,4,400,0,0.0,0,0.0,1.13,80.0,Brazil,Brazil,derecho,188,82,no,2.03,0.0,0.0,0.9,100.0,0.0,0.0,0.0,2.03,2.93,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,10.35,0.23,0.23,19.58,80.46,9.68,67.44,0.0,0.0,8.33,91.89,12.6,92.86,6.98,58.06,32.03,49.15,0.0,0.0,0.0,0.0,0.0,0.0,1.8,25.0,0.23,0.0,0.0,0.0,0.0,0.0,4.95,63.64,6,1.35,23,5.18,0,73.91,8.08,1.82,2.08,0.468,0.0,4.05,,,,0.0,0,0.0,LIGA2,2025-2026,POR,0.0,0.9,https://images.fotmob.com/image_resources/logo/teamlogo/8256.png,Portero,2026-08-01 16:29:15.671466
5050,Simão,Penafiel,Penafiel,"LB, LCB",27,150000,2027-06-30,25,1925,1,0.71,2,0.59,13.75,49.32,Guinea-Bissau,Guinea-Bissau,izquierdo,179,70,no,7.85,5.75,51.22,2.2,46.81,0.47,0.65,0.23,4.44,6.21,1.36,6,0.28,0,0.0,1.5,0.05,1,0.05,0.03,0,0.0,9,0.42,11.11,11.111,0.09,1.45,45.16,1.45,45.16,0.0,0.0,0.33,1.12,70.83,3.74,47.5,0.28,1.36,0.28,22.96,0.51,0.75,37.03,77.78,17.86,68.85,4.77,96.08,10.19,83.94,29.41,85.37,6.26,49.25,20.43,36.82,0.03,0.0,0.0,0.0,0.0,0.14,4.96,51.89,1.78,36.84,0.23,0.0,0.23,0.56,9.35,65.5,0,,0,,0,0.0,0.0,0.0,,,1.22,,0.0,0.0,0.0,0.0,0,0.0,LIGA2,2025-2026,POR,0.37,,https://images.fotmob.com/image_resources/logo/teamlogo/230700.png,Lateral,2026-08-01 16:29:15.671466
5051,K. Klimov,Feirense,Feirense,CF,25,150000,2026-06-30,21,854,0,2.02,1,0.53,21.18,37.81,Russia,Russia,izquierdo,191,80,no,2.74,2.85,51.85,7.06,44.78,0.21,0.35,0.11,1.05,1.76,1.9,1,0.11,0,0.0,0.95,0.0,0,0.0,0.21,0,0.0,15,1.58,40.0,0.0,0.11,0.42,25.0,0.11,0.0,0.32,33.33,0.11,0.74,28.57,6.85,26.15,3.06,1.05,0.0,5.69,1.26,1.69,9.17,66.67,2.11,60.0,2.42,78.26,2.74,50.0,8.43,70.0,0.42,25.0,12.55,6.45,0.06,0.0,0.0,0.0,0.0,0.21,1.48,64.29,0.21,50.0,0.0,0.0,0.53,0.11,0.95,55.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,1,0.0,LIGA2,2025-2026,POR,0.95,,https://images.fotmob.com/image_resources/logo/teamlogo/8713.png,Delantero,2026-08-01 16:29:15.671466
